provider_id,provider_name,specialty,license_number,years_of_experience,zip_code,state,practice_size,is_hospital_affiliated,electronic_system_type,insurance_networks,office_hours,languages_spoken,certification_dates,rating,patient_demographics
PROV00010,Healthcare Provider 10,Orthopedics,LIC874684,13,72623,TX,Large,1,Legacy,"Network3,Network4","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}",French,"{""medical_license"": ""2020-12-08"", ""board_certification"": ""2019-04-26""}",4.8,"{""pediatric"": 48, ""adult"": 37, ""elderly"": 67}"
PROV00011,Healthcare Provider 11,Pediatrics,LIC125939,30,52941,TX,Medium,0,Legacy,Network4,"{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}",French,"{""medical_license"": ""2016-06-23"", ""board_certification"": ""2016-06-28""}",3.9,"{""pediatric"": 58, ""adult"": 75, ""elderly"": 32}"
PROV00012,Healthcare Provider 12,Neurology,LIC679304,3,68053,TX,Small,1,System A,Network1,"{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","English,Spanish","{""medical_license"": ""2019-05-08"", ""board_certification"": ""2019-09-21""}",3.2,"{""pediatric"": 58, ""adult"": 52, ""elderly"": 12}"
PROV00013,Healthcare Provider 13,Internal Medicine,LIC218451,12,62733,NY,Large,0,System A,Network2,"{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}",English,"{""medical_license"": ""2019-06-19"", ""board_certification"": ""2021-06-23""}",4.0,"{""pediatric"": 23, ""adult"": 68, ""elderly"": 84}"
PROV00014,Healthcare Provider 14,Neurology,LIC531839,33,65680,TX,Medium,1,System A,"Network1,Network3","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}",Spanish,"{""medical_license"": ""2014-11-26"", ""board_certification"": ""2023-06-25""}",3.2,"{""pediatric"": 32, ""adult"": 85, ""elderly"": 9}"
PROV00015,Healthcare Provider 15,Internal Medicine,LIC911774,24,62083,NY,Medium,1,System C,"Network2,Network3,Network1","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","English,French","{""medical_license"": ""2018-11-26"", ""board_certification"": ""2022-01-04""}",4.2,"{""pediatric"": 42, ""adult"": 49, ""elderly"": 27}"
PROV00016,Healthcare Provider 16,Pediatrics,LIC418394,19,44754,TX,Large,1,System A,Network1,"{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","French,Spanish","{""medical_license"": ""2016-11-30"", ""board_certification"": ""2018-06-04""}",3.7,"{""pediatric"": 40, ""adult"": 88, ""elderly"": 19}"
PROV00017,Healthcare Provider 17,Family Practice,LIC654594,7,56843,NY,Small,1,Legacy,Network3,"{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","Spanish,Chinese","{""medical_license"": ""2020-07-29"", ""board_certification"": ""2015-06-07""}",3.9,"{""pediatric"": 32, ""adult"": 67, ""elderly"": 40}"
PROV00018,Healthcare Provider 18,Internal Medicine,LIC369544,19,25151,TX,Medium,1,System A,"Network4,Network3,Network2","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","English,French","{""medical_license"": ""2016-10-24"", ""board_certification"": ""2019-09-20""}",3.2,"{""pediatric"": 88, ""adult"": 38, ""elderly"": 59}"
PROV00019,Healthcare Provider 19,Orthopedics,LIC233272,29,78497,PA,Medium,1,System B,"Network2,Network3,Network1","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","Chinese,Spanish","{""medical_license"": ""2020-04-03"", ""board_certification"": ""2021-08-01""}",4.2,"{""pediatric"": 78, ""adult"": 11, ""elderly"": 92}"
PROV00020,Healthcare Provider 20,Pediatrics,LIC158871,8,56214,TX,Small,1,System A,"Network4,Network1,Network2","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","English,Chinese","{""medical_license"": ""2017-07-31"", ""board_certification"": ""2022-04-11""}",4.3,"{""pediatric"": 94, ""adult"": 65, ""elderly"": 90}"
PROV00021,Healthcare Provider 21,Family Practice,LIC499111,27,40746,NY,Small,1,System A,"Network2,Network3,Network1","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","French,Spanish","{""medical_license"": ""2022-04-27"", ""board_certification"": ""2020-06-27""}",4.6,"{""pediatric"": 0, ""adult"": 55, ""elderly"": 17}"
PROV00022,Healthcare Provider 22,Internal Medicine,LIC730271,17,66491,FL,Medium,0,System B,Network1,"{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}",Spanish,"{""medical_license"": ""2022-12-28"", ""board_certification"": ""2023-04-28""}",4.8,"{""pediatric"": 72, ""adult"": 51, ""elderly"": 88}"
PROV00023,Healthcare Provider 23,Orthopedics,LIC559451,33,75726,IL,Small,1,System C,Network1,"{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","Chinese,French","{""medical_license"": ""2016-08-29"", ""board_certification"": ""2022-04-04""}",4.7,"{""pediatric"": 8, ""adult"": 15, ""elderly"": 28}"
PROV00024,Healthcare Provider 24,Orthopedics,LIC545101,24,82991,PA,Large,1,System C,"Network1,Network3,Network4","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}",Spanish,"{""medical_license"": ""2023-02-22"", ""board_certification"": ""2014-12-04""}",4.9,"{""pediatric"": 82, ""adult"": 47, ""elderly"": 12}"
PROV00025,Healthcare Provider 25,Neurology,LIC630089,26,60993,CA,Small,1,System B,"Network3,Network2,Network4","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}",English,"{""medical_license"": ""2016-06-02"", ""board_certification"": ""2021-02-26""}",4.4,"{""pediatric"": 60, ""adult"": 10, ""elderly"": 61}"
PROV00026,Healthcare Provider 26,Orthopedics,LIC548982,15,23403,NY,Medium,1,System C,"Network4,Network1,Network3","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","French,English","{""medical_license"": ""2017-10-19"", ""board_certification"": ""2017-05-08""}",3.8,"{""pediatric"": 88, ""adult"": 97, ""elderly"": 77}"
PROV00027,Healthcare Provider 27,Cardiology,LIC131024,6,63006,PA,Large,1,System A,Network3,"{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","Spanish,Chinese","{""medical_license"": ""2020-06-23"", ""board_certification"": ""2021-09-12""}",3.9,"{""pediatric"": 62, ""adult"": 66, ""elderly"": 20}"
PROV00028,Healthcare Provider 28,Neurology,LIC289407,30,79678,TX,Large,1,Legacy,Network1,"{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}",Spanish,"{""medical_license"": ""2020-11-08"", ""board_certification"": ""2018-05-30""}",4.8,"{""pediatric"": 51, ""adult"": 20, ""elderly"": 76}"
PROV00029,Healthcare Provider 29,Cardiology,LIC977284,26,18308,PA,Large,0,System A,Network4,"{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}",English,"{""medical_license"": ""2020-09-09"", ""board_certification"": ""2022-04-14""}",4.0,"{""pediatric"": 41, ""adult"": 66, ""elderly"": 8}"
PROV00030,Healthcare Provider 30,Internal Medicine,LIC276615,1,13343,IL,Large,1,System C,Network4,"{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}",English,"{""medical_license"": ""2021-02-01"", ""board_certification"": ""2015-03-04""}",3.8,"{""pediatric"": 30, ""adult"": 29, ""elderly"": 19}"
PROV00031,Healthcare Provider 31,Internal Medicine,LIC455612,14,19435,IL,Large,0,System B,"Network3,Network4","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","English,Chinese","{""medical_license"": ""2017-04-11"", ""board_certification"": ""2022-04-23""}",4.1,"{""pediatric"": 44, ""adult"": 50, ""elderly"": 23}"
PROV00032,Healthcare Provider 32,Pediatrics,LIC555968,30,36646,NY,Medium,1,System A,"Network1,Network2","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","English,French","{""medical_license"": ""2016-02-08"", ""board_certification"": ""2021-01-13""}",4.9,"{""pediatric"": 40, ""adult"": 45, ""elderly"": 73}"
PROV00033,Healthcare Provider 33,Neurology,LIC640652,4,37663,NY,Small,1,Legacy,"Network3,Network1,Network2","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","Spanish,Chinese","{""medical_license"": ""2016-04-26"", ""board_certification"": ""2019-05-03""}",3.5,"{""pediatric"": 35, ""adult"": 47, ""elderly"": 19}"
PROV00034,Healthcare Provider 34,Pediatrics,LIC599522,1,48304,NY,Large,1,System A,Network1,"{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","French,Spanish","{""medical_license"": ""2018-02-11"", ""board_certification"": ""2016-03-21""}",3.1,"{""pediatric"": 69, ""adult"": 69, ""elderly"": 24}"
PROV00035,Healthcare Provider 35,Internal Medicine,LIC980729,8,98668,NY,Medium,1,System B,"Network2,Network4","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","Chinese,French","{""medical_license"": ""2019-08-31"", ""board_certification"": ""2015-03-15""}",4.6,"{""pediatric"": 50, ""adult"": 34, ""elderly"": 3}"
PROV00036,Healthcare Provider 36,Neurology,LIC631831,25,70692,IL,Small,1,System B,Network2,"{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}",Chinese,"{""medical_license"": ""2017-12-12"", ""board_certification"": ""2019-03-13""}",4.9,"{""pediatric"": 92, ""adult"": 97, ""elderly"": 73}"
PROV00037,Healthcare Provider 37,Family Practice,LIC525695,12,46208,IL,Large,0,System C,Network4,"{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","Chinese,Spanish","{""medical_license"": ""2022-09-24"", ""board_certification"": ""2021-11-26""}",4.8,"{""pediatric"": 56, ""adult"": 44, ""elderly"": 46}"
PROV00038,Healthcare Provider 38,Orthopedics,LIC278352,12,73932,CA,Large,1,System A,"Network3,Network1,Network2","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","English,Spanish","{""medical_license"": ""2020-01-04"", ""board_certification"": ""2023-06-04""}",4.8,"{""pediatric"": 51, ""adult"": 19, ""elderly"": 95}"
PROV00039,Healthcare Provider 39,Neurology,LIC750308,12,99112,FL,Large,0,Legacy,Network2,"{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}",French,"{""medical_license"": ""2015-08-26"", ""board_certification"": ""2017-02-13""}",4.5,"{""pediatric"": 56, ""adult"": 55, ""elderly"": 44}"
PROV00040,Healthcare Provider 40,Cardiology,LIC633636,23,84460,TX,Large,1,System C,Network1,"{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}",Chinese,"{""medical_license"": ""2020-07-15"", ""board_certification"": ""2019-03-24""}",3.2,"{""pediatric"": 87, ""adult"": 14, ""elderly"": 43}"
PROV00041,Healthcare Provider 41,Cardiology,LIC818216,27,29065,NY,Small,0,System A,"Network2,Network4","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","Spanish,Chinese","{""medical_license"": ""2023-03-23"", ""board_certification"": ""2020-03-10""}",4.1,"{""pediatric"": 77, ""adult"": 60, ""elderly"": 12}"
PROV00042,Healthcare Provider 42,Pediatrics,LIC617923,6,99339,TX,Small,1,System B,"Network1,Network4,Network2","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}",French,"{""medical_license"": ""2023-05-06"", ""board_certification"": ""2022-01-11""}",4.6,"{""pediatric"": 82, ""adult"": 6, ""elderly"": 54}"
PROV00043,Healthcare Provider 43,Cardiology,LIC764795,20,65771,IL,Large,0,System C,Network4,"{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","French,Spanish","{""medical_license"": ""2021-07-24"", ""board_certification"": ""2021-04-10""}",4.0,"{""pediatric"": 24, ""adult"": 4, ""elderly"": 73}"
PROV00044,Healthcare Provider 44,Family Practice,LIC342804,6,77641,FL,Small,1,System A,Network4,"{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","French,Spanish","{""medical_license"": ""2020-05-21"", ""board_certification"": ""2019-03-01""}",4.6,"{""pediatric"": 77, ""adult"": 49, ""elderly"": 82}"
PROV00045,Healthcare Provider 45,Orthopedics,LIC523570,20,81726,CA,Small,1,System C,"Network3,Network2,Network4","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","Spanish,English","{""medical_license"": ""2015-07-21"", ""board_certification"": ""2020-12-24""}",5.0,"{""pediatric"": 91, ""adult"": 72, ""elderly"": 62}"
PROV00046,Healthcare Provider 46,Cardiology,LIC111023,8,33959,FL,Small,1,System B,"Network1,Network3","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","Spanish,Chinese","{""medical_license"": ""2021-10-16"", ""board_certification"": ""2018-06-27""}",4.4,"{""pediatric"": 34, ""adult"": 91, ""elderly"": 35}"
PROV00047,Healthcare Provider 47,Family Practice,LIC483934,17,48088,CA,Small,1,System A,Network3,"{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}",Chinese,"{""medical_license"": ""2023-02-12"", ""board_certification"": ""2021-11-16""}",4.0,"{""pediatric"": 44, ""adult"": 7, ""elderly"": 4}"
PROV00048,Healthcare Provider 48,Internal Medicine,LIC229473,10,94791,PA,Medium,0,System A,Network4,"{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}",French,"{""medical_license"": ""2018-11-18"", ""board_certification"": ""2021-06-25""}",3.9,"{""pediatric"": 34, ""adult"": 18, ""elderly"": 97}"
PROV00049,Healthcare Provider 49,Cardiology,LIC235230,25,30309,TX,Large,0,System A,Network4,"{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}",Chinese,"{""medical_license"": ""2015-12-16"", ""board_certification"": ""2022-05-26""}",3.8,"{""pediatric"": 29, ""adult"": 49, ""elderly"": 86}"
PROV00050,Healthcare Provider 50,Pediatrics,LIC773744,5,19860,PA,Large,0,System C,Network3,"{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","Spanish,French","{""medical_license"": ""2015-03-12"", ""board_certification"": ""2016-12-16""}",4.3,"{""pediatric"": 72, ""adult"": 11, ""elderly"": 77}"
PROV00051,Healthcare Provider 51,Family Practice,LIC931538,13,67091,PA,Small,0,Legacy,"Network1,Network2","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}",English,"{""medical_license"": ""2022-08-14"", ""board_certification"": ""2017-11-20""}",3.5,"{""pediatric"": 41, ""adult"": 86, ""elderly"": 91}"
PROV00052,Healthcare Provider 52,Orthopedics,LIC718362,12,52944,PA,Small,1,System B,"Network3,Network2,Network4","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}",Spanish,"{""medical_license"": ""2020-05-21"", ""board_certification"": ""2015-11-16""}",3.4,"{""pediatric"": 63, ""adult"": 26, ""elderly"": 55}"
PROV00053,Healthcare Provider 53,Family Practice,LIC585450,34,16949,NY,Medium,1,System B,"Network2,Network1,Network4","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","Chinese,Spanish","{""medical_license"": ""2015-07-08"", ""board_certification"": ""2020-02-05""}",3.3,"{""pediatric"": 61, ""adult"": 27, ""elderly"": 37}"
PROV00054,Healthcare Provider 54,Pediatrics,LIC563389,17,49811,NY,Small,1,System A,Network3,"{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","Chinese,French","{""medical_license"": ""2023-09-13"", ""board_certification"": ""2018-08-06""}",4.5,"{""pediatric"": 5, ""adult"": 45, ""elderly"": 7}"
PROV00055,Healthcare Provider 55,Internal Medicine,LIC779574,16,81774,TX,Medium,1,Legacy,Network2,"{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}",Chinese,"{""medical_license"": ""2016-06-22"", ""board_certification"": ""2015-04-08""}",3.1,"{""pediatric"": 13, ""adult"": 30, ""elderly"": 61}"
PROV00056,Healthcare Provider 56,Orthopedics,LIC157108,5,97505,FL,Medium,0,System B,Network4,"{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}",English,"{""medical_license"": ""2016-09-18"", ""board_certification"": ""2018-06-05""}",3.7,"{""pediatric"": 70, ""adult"": 47, ""elderly"": 54}"
PROV00057,Healthcare Provider 57,Family Practice,LIC191865,27,33624,NY,Small,0,System A,"Network4,Network1","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}",Spanish,"{""medical_license"": ""2020-12-10"", ""board_certification"": ""2016-01-04""}",4.6,"{""pediatric"": 33, ""adult"": 49, ""elderly"": 53}"
PROV00058,Healthcare Provider 58,Internal Medicine,LIC290471,15,10302,PA,Medium,1,Legacy,"Network3,Network1,Network4","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","English,French","{""medical_license"": ""2021-05-26"", ""board_certification"": ""2020-12-29""}",4.7,"{""pediatric"": 40, ""adult"": 24, ""elderly"": 86}"
PROV00059,Healthcare Provider 59,Orthopedics,LIC904462,23,94717,TX,Large,1,System A,"Network3,Network1","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}",Spanish,"{""medical_license"": ""2022-06-28"", ""board_certification"": ""2018-02-18""}",4.6,"{""pediatric"": 65, ""adult"": 51, ""elderly"": 77}"
PROV00060,Healthcare Provider 60,Cardiology,LIC101062,17,16229,NY,Medium,1,System A,Network3,"{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","Spanish,French","{""medical_license"": ""2020-08-12"", ""board_certification"": ""2017-11-27""}",4.6,"{""pediatric"": 69, ""adult"": 26, ""elderly"": 95}"
